NCR Registration No,Full Name,Trading Name,Legal Registration No,Phone,Fax,Physical Address,Town,Final Registration Date,Status
NCRCP982,KOREL FINANCIAL SERVICES CC,C J CONSULTANTS,1999/045967/23,011 975 5339,011 975 0811,Merida Court 3 Voortrekker Street Kempton Park 1619,Kempton Park,,
NCRCP9820,DOUBLE BRIDGE CASH LOANS (PTY) LTD,,2016/471935/07,015 307 7504,,28 Mahaju Crescent Tzaneen 0850,Tzaneen,,
NCRCP9840,MICROLOANS TWO GO (PTY) LTD,MICROLOANS 2 GO,2017/075512/07,011 393 1220,086 416 2458,85 Okkerneut Street Edleen Ext 3 KEMPTON PARK 1619,KEMPTON PARK,,
NCRCP9841,MILPARK EDUCATION (PTY) LTD,,2004/026244/07,021 673 9100,021 674 0116,2nd Floor Sunclare Building Cnr Protea & Dreyer Road Claremont Cape Town 8001,Cape Town,,
NCRCP9845,VIC-WES LOANS (PTY) LTD,,2016/010400/07,053 621 0285,053 621 0285,Voortrekker Straat 6 Victoria West Noordkaap 1304,Noordkaap,,
NCRCP9874,STANFORD CHAUKE,STANZERIO,N/A,082 599 4737,,13 Masopha Street Saulsville Pretoria 0125,Pretoria,,
NCRCP422,SUMMIT RIDGE TRADING 211 (PTY) LTD,EASY CASH,2003/018952/07,  ,,38 Rondebosch Makhado 0920,Makhado,,
NCRCP4222,FERRUCCIO CORALINI,,N/A,  ,,15 Lebombo Street Carletonville 2500,Carletonville,,
NCRCP4224,VILLA DI MONTE DEVELOPMENTS (PTY) LTD,,2008/005830/07,011 476 5142,086 271 3713,72 Davidson Street Fairland 2195,Fairland,,
NCRCP4225,BLUE MOUNTAIN RIDGE TRADING 4 (PTY) LTD,,2005/038257/07,012 348 5662,012 348 5693,406 Devenish Gardens 362 Leyds Street Sunnyside 0132,Sunnyside,,
NCRCP4228,NEPHIPHIDI CASH LOANS CC,,2008/037489/23,015 299 3554,015 299 3588,Flat no. 289 A Polokwane - Karre Base PIETERSBURG 0699,PIETERSBURG,,
NCRCP4232,LOURENS ERASMUS COETSER,SMART FINANCE,N/A,015 291 3003,,220 Kidds Drive Sterkloop Plotte Ivy Park PIETERSBURG 0699,PIETERSBURG,,
NCRCP4249,PJJ KOTZE FAMILIE TRUST,,IT 517/99,011 538 4700,086 679 9086,73 Maitlands Street BLOEMFONTEIN 9301,BLOEMFONTEIN,,
NCRCP425,DEVINE FINANCING CC,ELITE FINANCING,1998/00665/23,017 634 5526,086 5755 544,7 Scheeper Street Secunda 2302,Secunda,,
NCRCP4260,NATIONAL YOUTH DEVELOPMENT AGENCY,,N/A,011 651 7000,086 558 6146,11 Broadwalk Avenue Halfway House 1685,Halfway House,,
NCRCP4261,MKHOMBE FINANCIAL SERVICES (PTY) LTD,,2004/011312/07,031 765 5663,031 764 7059,7 Park Lane Kloof 3610,Kloof,,
NCRCP9888,GOLDEN COTTAGE FINANCIAL SOLUTIONS (PTY) LTD,,2017/261516/07,013 243 0444,,167 Cowen Ntuli Street MIDDLEBURG 1050,MIDDLEBURG,,
NCRCP990,BRITS KONTANTLENINGS BK,J.C.K. CASH LOANS,1997/031521/23,017 634 6887,086 762 0451,"Shop 18, Fischer Building Laurens Muller Street Secunda 2302",Secunda,,
NCRCP992,VALUE FURNISHERS (PTY) LTD,,1965/002335/07,011 356 7600,011 339 1671,"Noswal Hall, 2nd Floor 3 Stiemens Street Braamfontein 2017",Braamfontein,,
NCRCP9924,YAN HOLDINGS (PTY) LTD,YAN LOANS,2016/493897/07,078 333 7586,,541 Church Street Pietermaritzburg 3201,Pietermaritzburg,,
NCRCP9925,JULHER (PTY) LTD,CASH CRUSADERS VRYHEID,2016/130924/07,072 796 8644,,Shop No.2 237 High Street Vryheid 3100,Vryheid,,
NCRCP993,MOGOROSI LABOUR AND FINANCE CC,,1999/055133/23,013 656 5334,013 656 5334,"35 Kipling Street Extension 8 , Leraatsfontein Witbank 1035",Witbank,,
NCRCP9935,LIYABONA AND LILO TRADING ENTERPRISE AND LOANS (PTY) LTD,,2015/205343/07,047 874 0097,086 443 8206,Sikhobooni AA Location COFIMVABA 5380,COFIMVABA,,
NCRCP9943,DRIVER WORKS (PTY) LTD,DRIVERWORKS,2015/233439/07,083 399 5438,,No 6 Kingsway Mansions Auckland Park Johannesburg 2006,Johannesburg,,
NCRCP996,YONIQUE ONE FINANCIAL SERVICES CC,MONEY DIRECT KYA JUNCTION,2007/071160/23,011 958 0439,011 7087054,179 Willowbrook Estate RUIMSIG 1732,RUIMSIG,,
NCRCP9971,GAP AND BRIDGE LOANS (PTY) LTD,G & B LOANS,2017/235022/07,084 491 2519,,Ruigteplaas LEVUBU 0929,LEVUBU,,
NCRCP1279,MAGNUM MEUBELS CC,,1992/070354/07,051 875 2008,051 875 2008,Joseph Street Thaba Nchu 9780,Thaba Nchu,,
NCRCP12796,SHI YUZHI (PTY) LTD,Z&C CASH LOANS,2019/429743/07,066 436 9161,,46 Church Street Wynberg Cape Town 8001,Cape Town,,
NCRCP12799,L EN M CASH LOANS (PTY) LTD,,2018/300039/07,064 177 3363,,35 Pretorius Street Christiana 2680,Christiana,,
NCRCP1280,GIBELA TRADE AND INVEST 1242 CC,GIBELA CASH LOANS,2007/058416/23,041 487 1695,041 487 1695,59 Green Street North End Port Elizabeth 6056,Port Elizabeth,,
NCRCP12826,DT AUTO (PTY) LTD,FUTURE LOANS,2018/483805/07,072 256 7377,,1579 Tafelberg Avenue Spitskop BLOEMFONTEIN 9301,BLOEMFONTEIN,,
NCRCP12832,KAKUKA (PTY) LTD,,2019/080456/07,082 979 3401,,4146 Clayville Ext 34 Hafnium Lane Olifantsfontein 1666,Olifantsfontein,,
NCRCP1286,CHEETAH FINANCE CC,,1999/048398/23,021 592 5304,021 592 5304,79b Alcon House Voortrekker Road GOODWOOD 7459,GOODWOOD,,
NCRCP12878,KOMANI FINANCE (PTY) LTD,,2019/446659/07,043 721 2360,,"Shop 27, First Floor Morums Building Cathcart Road Queenstown 5319",Queenstown,,
NCRCP129,AMADWALA TRADING 223 CC,TEXAS FINANCE,2004/074121/23,  ,015 516 1298,106 Burger Street Louis Trichardt 0920,Louis Trichardt,,
NCRCP1290,ASCENDANT CASHFLOW SOLUTIONS (PTY) LTD,,2000/022346/07,012 682 9540,012 665 4773,Jigsaw Park 7 Einstein Street PRETORIA 0169,PRETORIA,,
NCRCP4361,JAMES ANTHONY GODDING,,N/A,043 722 3067,043 722 4064,"Sterling house,1st Floor 24 Gladstone Street EAST LONDON 5201",EAST LONDON,,
NCRCP4380,MOSELEKWA CASH LOANS CC,,2009/194717/23,083 994 2979,015 780 7056,12 Flamingo Street Phalaborwa 1390,Phalaborwa,,
NCRCP4384,SWE FINANCIAL SERVICES CHRISTIANA CC,JCL FINANCE,2008/208678/23,056 212 8586,,20 Pretorius Street Christiana Lengau 9499,Lengau,,
NCRCP4386,JACOBUS NICOLAAS JOHANNES SWART,,N/A,011 802 0560,012 991 5421,4 Leeuwberg 830 Koedoebergweg FAERIE GLEN 0043,FAERIE GLEN,,
NCRCP439,JOHN CRAIG (PTY) LTD,JOHN CRAIG (PTY) LTD,1950/036084/07,011 479 0000,086 059 768,3 River Road Bedfordview Bedfordview 2007,Bedfordview,,
NCRCP4395,JAMES MURRAY JNR FAMILY TRUST,THE JACK PRIVATE GAME RESERVE & EQUESTRIAR ESTATE,IT 7409/98,011 867 6576,011 867 2071,15 Lightelm Place Meyersdal Alberton 1449,Alberton,,
NCRCP4399,RICTU 76 CC,"VICTORIA WES FINANSIELE DIENSTE, LOANTECH",2008/124009/23,053 203 0124,053 203 0124,5 Voortrekker Street VICTORIA-WES 7070,VICTORIA-WES,,
NCRCP4413,PHARON 17 CC,CLOETESVILLE KONTANTLENINGS,2008/173440/23,021 883 9792,021 883 3948,99 - 101 Long Street Stellenbosch 7600,Stellenbosch,,
NCRCP4417,LOVEMORE FUYANE,,N/A,083 302 8055,,16 Hampton Court Road Gallo Manor JOHANNESBURG 2196,JOHANNESBURG,,
NCRCP4418,CVI SHACKLETON 2 (PTY) LTD,,2007/026817/07,033 342 3645,033 342 2328,187 Hoosen Haffejee Street Pietermaritzburg 3201,Pietermaritzburg,,
NCRCP4262,FINANSOLL CC,FINANCIAL SOLUTION,2009/140943/23,021 883 9792,021 883 3948,4 Old Helshoogte Road Stellenbosch 7600,Stellenbosch,,
NCRCP4263,NESHAL SINGH,,N/A,043 722 3067,043 722 4064,"Sterling House, 1st Floor 24 Glanstone Street EAST LONDON 5201",EAST LONDON,,
NCRCP4265,MODEL SPORT CC,MODEL SPORTS AND SHOES,1988/008579/23,023 347 3806,023 347 3806,"Shop 91, Mountain Mill Mall Worcester 6850",Worcester,,
NCRCP4269,RAYMOND REINHOLD WEYER,,N/A,043 722 3067,043 722 4064,"Sterling House, 1st Floor 24 Gland Stone EAST LONDON 5201",EAST LONDON,,
NCRCP427,EXPEDITORS INTERNATIONAL S A (PTY) LTD,,1994/000735/07,011 976 7156,011 976 7201,26 Pomona Road Kempton Park 1620,Kempton Park,,
NCRCP4272,B V A HOME OF FURNITURES AND GENERAL SALES CC,,2006/161734/23,013 264 0307,086 696 0014,953 Mmakoshala Phokoane NEBO 1059,NEBO,,
NCRCP4274,PHAKELA FINANCIAL SERVICES CC,,2009/122590/23,076 870 3460,,Stand 8 Indermark 0717,Indermark,,
NCRCP4278,BIG BOY SCOOTERS CC,,1996/002156/23,011 444 6017,011 262 3376,8 Lees Street Wynberg Sandton 2031,Sandton,,
NCRCP428,UPTOWN TRADING 421 CC,CASH CRUSADERS - ROODEPOORT,2004/120079/23,016 428 3257,016 428 3257,51 van Wyk Street Roodepoort 1724,Roodepoort,,
NCRCP4280,CONSTANTIA BROKERS (PTY) LTD,,1973/009467/07,011 795 3629,011 794 2224,Office 1 A Honeydew Shopping Centre Bluebeerry Street Honeydew 2040,Honeydew,,
NCRCP9976,ALPINE UMHLANGA (PTY) LTD,,2016/016752/07,031 717 7822,031 717 7714,Corner Nerdian Drive Zennith Drive Umhlanga Rocks 4319,Umhlanga Rocks,,
NCRCP9996,TRANSSEC 6 SECURITY SPV (RF) (PTY) LTD,,2016/117311/06,011 550 9300,011 550 9652,179 15th Road Randjespark Midrand 1685,Midrand,,
NCRCP12923,SUCCESS MICROFINANCE (PTY) LTD,,2019/207330/07,062 526 5939,,18 Hoofd Street Braamfontein 2001,Braamfontein,,
NCRCP12936,MUJUZA HOLDINGS (PTY) LTD,MUJUZA LOANS,2017/120190/07,021 010 0908,,"Unit 13, Merlot Centre 1 Merlot Avenue Table View Cape Town. 7441",Cape Town.,,
NCRCP12944,ODENDAAL CELLULAR SERVICES (PTY) LTD,PROCELL,2016/468144/07,071 119 0777,,45B Alberton Boulevard New Redruth ALBERTON 1449,ALBERTON,,
NCRCP1295,SQUARE CASH LOANS CC,CASH WISE,1999/038161/23,012 811 0204,012 811 0790,268 Struben Street Tshwane 0002,Tshwane,,
NCRCP12959,CASH CRUSADERS LOUIS TRICHARDT (PTY) LTD,,2019/162127/07,021 787 9843,,Shop 2 Noor Centre Cnr of Songwozi Munik and Krogh Streets Louis Trichardt (Makhado) 0920,Louis Trichardt (Makhado),,
NCRCP12976,TSHELEKA FINANCE (PTY) LTD,,2017/511007/07,033 503 1393,,Unit 1A Quarry Office Park 400 Old Howick Road Hilton 3245,Hilton,,
NCRCP1298,JAN CORNELIUS JOUBERT,DIE HUISVRIEND - GEORGE,N/A,044 878 0887,044 878 0906,Eenheid A2 York Industrial Park P.W. Botha Boulevard George 6535,George,,
NCRCP12993,CELESTIAL 85 INVESTMENTS (PTY) LTD,,2015/229304/07,076 750 7104,,1104 Holkam Road Paulshof Bryanston Johannesburg 2191,Johannesburg,,
NCRCP12994,FREEME SOLUTIONS (PTY) LTD,,2019/388507/07,074 899 2929,,609 lenchen Street Erasmia PRETORIA WEST 0183,PRETORIA WEST,,
NCRCP13003,MM1108 (PTY) LTD,CASH CONVERTERS COMORO CROSSING,2019/148219/07,087 820 4080,,Comaro Crossing Shopping Centre Cnr Oak and Boundary Road Oakdene 2190,Oakdene,,
NCRCP4421,KHULA SME FUND TRUST,,IT 1303/2008,043 700 0000,043 700 0100,Berea Terrace Office Park 3 Berea Terrace Berea East London 5201,East London,,
NCRCP4422,MTIMANDE CASH LOAN CC,,2009/163692/23,047 878 0118,047 878 0118,ERF 51 Sandile Street LADY FRERE 5410,LADY FRERE,,
NCRCP4425,MZAKHE TRADING CC,,2004/071711/23,012 428 8240,086 623 5576,94 Block FF SOSHANGUVE 0152,SOSHANGUVE,,
NCRCP4429,COALVEST (PTY) LTD,COALVEST (PTY) LTD,2005/014797/07,012 482 6600,086 604 7340,Cnr Steenbok & Elephant Road Monument Park Pretoria 0181,Pretoria,,
NCRCP4434,MPEPU CASH LOANS CC,,2009/052561/23,  ,015 633 5200,314 Tooseng Village Ga-Mphahlele 0755,Ga-Mphahlele,,
NCRCP4448,ANTOINETTE NOLIN FREITAG,,N/A,043 722 3067,043 722 4064,"Sterling House, 1st Floor 24 Glandstone EAST LONDON 5201",EAST LONDON,,
NCRCP445,TOLL GLOBAL FORWARDING (SA) (PTY) LTD,,1988/006773/07,011 565 2600,011 565 2602,Aeroport Industrial Estate 15 Belgrade Avenue Spartan Kempton Park 1620,Kempton Park,,
NCRCP4453,IKHAYA LOKUKHANYA FINANCIAL SERVICES CC,,2008/136940/23,017 685 2154,017 685 2154,Stand no 2112 Embalenhle 2285,Embalenhle,,
NCRCP4463,JAN PAUL SMIT DE BEER,,N/A,012 346 2607,012 346 2607,246 Clark Street Brooklyn Pretoria 0181,Pretoria,,
NCRCP4475,JACOBA MAGDALINE EILEEN RITCHIE,,N/A,043 722 3067,043 722 4064,"1st Floor, Stering House 4 Gland Stone Street East London 5201",East London,,
NCRCP4295,STEINKAMP INVESTMENTS CC,MR CASH,2002/027669/23,023 626 2345,086 699 9659,36n Keerom Sreet Robertson 6705,Robertson,,
NCRCP430,AFRILON FINANCIAL SERVICES CC,,1997/07209/23,014 592 4742,014 592 3246,61 Fatima Bhayat Street Rustenburg 0299,Rustenburg,,
NCRCP4302,ERF 779 EN 1931 SPRINGS ONTWIKKELING CC,,2006/181911/23,012 333 8105,012 403 9110,557 Boerboel Street Garsfontein Ext 10 Pretoria 0081,Pretoria,,
NCRCP4306,MAZWIWA CASH LOANS CC,,2006/072800/23,076 619 5818,015 962 0526,Thohoyandou Sabina Plaza D104 Thohoyandou 0950,Thohoyandou,,
NCRCP431,CLAYTONY TRADERS CC,,2001/074984/23,015 793 1347,015 793 1347,134 Eland Street Hoedspruit 1380,Hoedspruit,,
NCRCP4311,CAPITAL AFRICA STEEL (PTY) LTD,,2003/008668/07,011 257 5272,086 506 0673,373 Rivonia Baulevard Rivonia 2128,Rivonia,,
NCRCP4316,SONKANT TRUST,THUSANO SENTLE,IT 7938/02,014 543 2545,,28 President Street Zeerust 2865,Zeerust,,
NCRCP4317,RUBICON PLC AUTOMATION CC,,1989/028935/23,041 431 4359,041 451 1296,14A Jacnick Pork 186 Second Avenue ALBERTON 1454,ALBERTON,,
NCRCP4318,RUBICON EASTERN CAPE ELECTRICAL DISTRIBUTORS CC,,2004/102412/23,041 451 4357,041 451 1296,"Unit 3, 6 Dyer Street Arcadia East London 5201",East London,,
NCRCP4319,RUBICON ELECTRICAL DISTRIBUTOR CC,,1986/009742/23,041 451 4359,041 451 1296,4 Reith Street Sidwell Port Elizabeth 6001,Port Elizabeth,,
NCRCP5173,M AND D SECURITY SERVICES CC,M AND D CASH LOAN,2008/074978/23,039 258 0262,039 258 0262,"JS Mazaza Complex 88 Main Street, Office No 6 TABANKULU 5130",TABANKULU,,
NCRCP5176,ANDULUCIA TRADING 228 (PTY) LTD,,2010/007643/07,011 777 7555,,Stand 511 No 3 3 Freeman Street MIDRAND 1685,MIDRAND,,
NCRCP5178,BARRY LEON KRETZMANN,,N/A,032 722 3067,043 722 4064,"1st Floor, Sterling House 24 Gladstone Street EAST LONDON 5201",EAST LONDON,,
NCRCP5185,AVIR PENSION FUND,,N/A,011 305 2350,011 305 2550,89 Bute lane Sandown Sandton 2196,Sandton,,
NCRCP519,B B USED (PTY) LTD,B B BUDGET,2000/003083/07,015 287 1321,015 287 1400,Cnr Rissik & Landros Mare' Street Polokwane 0699,Polokwane,,
NCRCP5190,WARREN MARINE (PTY) LTD,,1968/003078/07,021 790 1041,021 790 5722,Harbour Road HOUT BAY 7872,HOUT BAY,,
NCRCP5207,JACEK MIECZYSLAW ANDRYSIEWICZ,,N/A,011 805 5870,086 692 0543,55 Turkana Eldoret Road Sunninghill 2157,Sunninghill,,
NCRCP5213,SPILASCORE CC,SPEED CASH,2009/220658/23,014 555 6090,,"Shop 25, Mogwase Shopping Centre Mogwase 0314",Mogwase,,
NCRCP5219,JACOBUS ESAIAS HENDRIK DU PREEZ,SAAMSPAN CASH LOANS,N/A,083 252 8041,,Sybrand van Niekerk Street 19 Amersfoort 2490,Amersfoort,,
NCRCP5220,ANDRIES LE ROUX VAN NIEKERK,,N/A,  ,,Vugeboomspoort Farm Nylstroom 0510,Nylstroom,,
NCRCP13005,MELISSA ARLETTE BARNARD,,N/A,083 281 8658,,25 Birds View Vlei Road Crystal Park BENONI 1501,BENONI,,
NCRCP13039,ICICI BANK LIMITED INCORPORATED IN GUJARAT INDIA,ICICI BANK LIMITED,2005/015773/10,  ,,"3rd Floor West Building, Sandown Mews 88 Stella Street Sandton JOHANNESBURG 2196",JOHANNESBURG,,
NCRCP13040,MKD CAPITAL (PTY) LTD,,2019/507099/07,084 238 5215,,22 Carlswald Meadows 55 Acacia Road Midrand Halfway House 1685,Halfway House,,
NCRCP13068,KGETSE INDUSTRIES (PTY) LTD,CASH CONVERTERS ANDERSON STREET,2017/667010/07,087 820 4080,,Cnr Anderson Street & Kruis Street Masharltown Johannesburg 2001,Johannesburg,,
NCRCP1309,SAGE WISE 46 (PTY) LTD,CARS,2003/016853/07,056 212 8540,056 212 8542,7 Louw Street Kroonstad 9500,Kroonstad,,
NCRCP131,INSURANCE GROUP MANAGERS (PTY) LTD,PREMIUM CREDIT S A & INADVANCE,1990/001674/07,011 449 6805,011 781 7811,IOM House 6 St. Giles Street Randburg 2125,Randburg,,
NCRCP13100,RITE4U (PTY) LTD,RITE4U FINANCIAL SERVICES,2017/358359/07,012 771 7973,086 598 5358,"Sophie De Bruyn and Pretorius Street Olivetti House, 513 Pretoria 0002",Pretoria,,
NCRCP1313,MENLYN FINANCIAL SERVICES (PTY) LTD,,2002/023153/07,012 361 4974,012 361 9754,Podium 3 80 Lois Avenue Menlyn 0181,Menlyn,,
NCRCP1314,ADARMA FINANSIELE DIENSTE CC,,1998/45873/23,021 553 4778,021 553 4778,45 Assegaai Road Parow Industria 7490,Parow Industria,,
NCRCP13144,LILITHA CASH LOANS (PTY) LTD,,2019/324949/07,043 722 1213,043 722 1213,"Office No 7 and 8, Orient Mall No 2 Currie Street EAST LONDON 5201",EAST LONDON,,
NCRCP4481,FERROGAS (PTY) LTD,,2004/022570/07,013 244 1444/5/9,086 508 6272,3 Summer Street SAE Business Park Middelburg 1050,Middelburg,,
NCRCP4485,PROREX TRADING 12 CC,BLUEFIN FINANCIAL SERVICES,2008/155961/23,021 883 9792,021 883 3948,14 Melkhoue Street HOUT BAY 7806,HOUT BAY,,
NCRCP4487,CAPE SELECT TRUCK SALES (PTY) LTD,CAPE TRUCK & RETAILER SALES,1991/003006/07,021 987 2056,021 987 2055,1 Industrial Road Kraaifontein Industria BELLVILLE 7535,BELLVILLE,,
NCRCP4489,CASON PAWN SHOP CC,BOKSBURG NORTH PAWNSHOP,2009/008895/23,011 892 2204,011 849 5130,66 Cuson Road Boksburg North 1459,Boksburg North,,
NCRCP4490,BASALT INVESTMENTS AND FINANCING (PTY) LTD,BASALT INVESTMENT AND FINANCE,2008/001426/07,011 399 2600,011 431 4159,232 Oak Avenue Ferndale Randburg 2194,Randburg,,
NCRCP4503,OTTO BESIGHEIDS TRUST,,IT 717/08,014 592 9776,086 547 2604,131 Thabo Mbeki Street RUSTENBURG 0299,RUSTENBURG,,
NCRCP4510,SAKTHI FINANCIAL SERVICES (PTY) LTD,SAKTHI FINANCE,2009/014671/07,031 500 9496,031 500 9495,3 Stoneham Drive Whetstone Phoenix 4068,Phoenix,,
NCRCP4513,HAMTRADING (PTY) LTD,BALDWINS METAL LAND,2000/021868/07,013 755 2012,013 752 5887,3 Bosch Street NELSPRUIT 1200,NELSPRUIT,,
NCRCP4515,CAPE TOWN MARKET (PTY) LTD,,2002/011913/07,021 531 2191,021 531 5291,110 Gunners Circle Epping 1 EPPINDUST 7475,EPPINDUST,,
NCRCP452,SECTOR FIVE GROUP RE-FINANCIAL SERVICES (PTY) LTD,TSHELETE,2003/021723/07,012 651 6977,086 511 8829,Cnr van Riebeeck & Anries Pretorius Streets Pretoria 0143,Pretoria,,
NCRCP4323,LENDCOR CAPITAL (PTY) LTD,,2006/033054/07,031 310 7132,031 304 6355,"Suite 601, 85 On Field Field Street Durban 4001",Durban,,
NCRCP4324,JEAN KING,,N/A,043 722 3067,043 722 4064,"Sterling House, 1st Floor 24 Gladstone Street EAST LONDON 5201",EAST LONDON,,
NCRCP4325,OUTENIQUA MOTORWORKS CC,SUBARU GEORGE,1993/004309/23,044 873 4044,044 873 0608,41 York Street George 6530,George,,
NCRCP4328,SIYAGHOPA TRADING 195 (PTY) LTD,,2009/011437/07,086 111 2754,086 612 7731,"57 Melles Drive Aldopark,Extension 18 Eldoraiene PRETORIA 0166",PRETORIA,,
NCRCP4329,COLIN STANLEY POTE (AS REPRESENTED BY HIS CURATOR BONIS JOHANNES HENDRIK VAN DER VYVER NEL),,N/A,011 954 4000,011 954 4011,Cnr Swart Redelinghuys Nel Attorneys 245 Voortrekker Road Monument KRUGERSDORP 1739,KRUGERSDORP,,
NCRCP433,ROWCO 112 CC,REATHUSA CASH LOANS,2005/083229/23,051 841 1081,086 594 4282,Steynspruit Farm Verkeerdevlei 9401,Verkeerdevlei,,
NCRCP434,FINCHOICE (PTY) LTD,,1993/005310/07,021 680 1052,021 680 8142,78 Main Road Wynberg Cape Town Cape Town 8001,Cape Town,,
NCRCP4351,CLOSE TO HOME TRADING 541 @OFFICE WORLD,CLOSE TO HOME TRADING 541 @OFFICE WORLD,2010/071475/23,051 403 5560,051 403 5599,Victoria Square 2nd Avenue Shop 24-27 West Dene BLOEMFONTEIN 9301,BLOEMFONTEIN,,
NCRCP4352,JOOD'S CASH LOANS CC,,2009/143026/23,041 485 2089,,"10 Bellflower Crescent Bethelsdorp, Extension 31 Port Elizabeth 6059",Port Elizabeth,,
NCRCP4357,BLUE CHIP FINANCE 1 (PTY) LTD,,1998/019299/07,012 460 7288,086 509 0218,Bank Forum Building Cnr Veale & Fehrsen Streets Nieuw Muckleneuk Pretoria 0181,Pretoria,,
NCRCP5224,SOUTHERN AMBITION 1723 CC,Southern Ambition,2009/179230/23,042 243 3163,042 243 3163,16 Beaufort Street Somerset East 5850,Somerset East,,
NCRCP5226,GERALD FARBER,ADVOCATE G FARBER SC,N/A,011 324 0500,086 688 7061,Masisels Chambers 2nd Floor Sandown SANDTON CITY 2196,SANDTON CITY,,
NCRCP5228,MATTHYS MICHIELSE DU TOIT,,N/A,082 896 7423,,4 Kolstert Slot GROOT JONGENSFONTEIN 6675,GROOT JONGENSFONTEIN,,
NCRCP5233,WILLIAM RYNARD VAN EEDEN,EXECUFIN CREDIT FINANCE,N/A,021 461 3268,086 510 2918,Six Unit 559 64 Sir Lowry Road Cape Town 8001,Cape Town,,
NCRCP5240,TEEBAC (PTY) LTD,Enterpreneur Refuse Removers (ERR),1996/016947/07,011 463 0731,011 463 0735,"33 Sloane street Unit 101,1st floor,Block E Knightsbridge Manor Bryanston 2021",Bryanston,,
NCRCP5246,LAVENDER MOON TRADING 68 CC,MANTSI FINANCIAL SERVICES,2005/099613/23,044 272 2965,086 601 9658,Checkers Square OUDTSHOORN 6625,OUDTSHOORN,,
NCRCP525,VOIGRO TRADING 3 CC,H W FINANCING,2003/040795/23,044 382 3825,044 382 3725,5 Clyde Street Knysna 6570,Knysna,,
NCRCP526,FASTWAY INVESTMENTS CC,LOAN CITY,1997/39575/23,043 726 4419,043 726 4419,Cnr Buffalo & Union Streets East London 5201,East London,,
NCRCP5262,BUSINESS SHELF 27 CC,RED DOOR CASH,2010/024465/23,078 771 0300,,65 Nelson Mandela Monte Carlo Building Room 10 BLOEMFONTEIN 9301,BLOEMFONTEIN,,
NCRCP527,HISPRO CC,THE PEOPLES FIRST CHOICE,2005/002891/23,021 559 4321,021 559 4321,1 Crudop Street Bothasig Cape Town 8001,Cape Town,,
NCRCP13146,5KLIPPA (PTY) LTD,,2019/538549/07,082 569 8100,,28 Jacobus Devilliers Street Pierre Van Ryneveld Centurion 0046,Centurion,,
NCRCP13149,MONEY POUND (PTY) LTD,,2017/537191/07,061 145 9844,,"House No 7199, Ext 5 Langaville Tsakane. 1515",Tsakane.,,
NCRCP13153,ZELSTONE FAMILY TRUST,,IT7673/00,082 339 6241,,12 Alphen Rijn Drive Oewersig Oudtshoorn 6620,Oudtshoorn,,
NCRCP1318,NEW GENERATION MOTORS CC,ZENPRO MOTORS,1992/027163/23,015 297 2273,015 297 4309,10 Devenish Street Polokwane 0700,Polokwane,,
NCRCP13184,ANDREW DUANE ROODT,AD ROODT,N/A,082 446 0066,,137 Buffelspoort Eco Park Buffelspoort Marikana 0284,Marikana,,
NCRCP13196,BERGHOEK TRUST,,IT52/2014,021 886 6225,,Berghoek Farm BREDASDORP 7280,BREDASDORP,,
NCRCP132,SPECTRIFIN CAPITAL (PTY) LTD,SPECTRIFIN,2003/009311/07,021 917 2500,021 917 2580,1st Floor 80 Strand Street Cape Town 8000,Cape Town,,
NCRCP1321,HATTINGH EIENDOMS TRUST,,IT 342/2002,  ,086 621 8848,5 Smuts Street Jan Kempdorp 8550,Jan Kempdorp,,
NCRCP13214,CASH CRUSADERS DARRAS CENTRE (PTY) LTD,,2019/135481/07,021 787 9843,,"Shop L2, Darras Centre Cnr Kitchner Avenue & Juno Street Kensington 2094",Kensington,,
NCRCP1322,PC TRAINING AND BUSINESS COLLEGE (PTY) LTD,,2000/000752/07,031 304 9340,031 307 7170,"5th Floor , 292 Smith Street Durban 4001",Durban,,
NCRCP4521,LOOK AGAIN FINANCE (PTY) LTD,,2009/022806/07,012 674 9222,086 500 3522,28 Von Willich Avenue Centurion 0046,Centurion,,
NCRCP4527,M L M SECURITY SERVICES CC,K&T MICRO LENDERS,2004/045183/23,021 387 6439,086 511 3795,4 Jerome Avenue Mandalay Mitchells Plain 7785,Mitchells Plain,,
NCRCP453,T BIRCH AND COMPANY (PTY) LTD,BIRCH'S,1901/000357/07,041 363 1360,041 363 2580,97 Second Avenue Newton Park Port Elizabeth 6045,Port Elizabeth,,
NCRCP4536,CAPFIN (PTY) LTD,,1980/005783/07,087 354 0002,021 413 2626,1 Industrie Street KUILSRIVER 7580,KUILSRIVER,,
NCRCP4544,REAL PEOPLE MICRO ENTERPRISE FUNDING (PTY) LTD,,2009/009179/07,043 702 4600,086 621 8408,11 Reese Streer Quigney EAST LONDON 5201,EAST LONDON,,
NCRCP4548,BRIDGE DEBT (PTY) LTD,,2009/001358/07,086 111 2754,086 612 7731,"Block 14, Boardwalk Office Park 79 Eros Street Faerie Glen Pretoria 0184",Pretoria,,
NCRCP4560,IZWE INVEST (PTY) LTD,,2009/019455/07,010 206 7400,,"Aloe Grove, Houghton Estate Office Park 2 Osborn Road Houghton Estste Johannesburg 2193",Johannesburg,,
